wl,avg.uv.1,avg.uv.2,avg.uv.3,avg.uv.4,cyanistes.caeruleus.1,cyanistes.caeruleus.2,cyanistes.caeruleus.3,cyanistes.caeruleus.4,sturnus.vulgaris.1,sturnus.vulgaris.2,sturnus.vulgaris.3,sturnus.vulgaris.4,avg.v.1,avg.v.2,avg.v.3,avg.v.4,pavo.cristatus.1,pavo.cristatus.2,pavo.cristatus.3,pavo.cristatus.4,cyanistes.caeruleus.dc,gallus.gallus.ach.1,sturnus.vulgaris.ach.1,apis.mellifera.f.1,apis.mellifera.f.2,apis.mellifera.f.3,canis.familiaris.1,canis.familiaris.2,canis.familiaris.ach.1,cie.2deg.1,cie.2deg.2,cie.2deg.3,cie.10deg.1,cie.10deg.2,cie.10deg.3,musca.domestica.1,musca.domestica.2,musca.domestica.3,musca.domestica.4,musca.domestica.ach.1,ctenophorus.sp.1,ctenophorus.sp.2,ctenophorus.sp.3,habronattus.sp.1,habronattus.sp.2,habronattus.sp.3,rhinecanthus.aculeatus.1,rhinecanthus.aculeatus.2,rhinecanthus.aculeatus.3,rhinecanthus.aculeatus.ach.1,notonecta.undulata.1,notonecta.undulata.2,notonecta.undulata.3,notonecta.isulata.1,notonecta.isulata.2,notonecta.isulata.3,notonecta.irrogata.1,notonecta.irrogata.2,notonecta.irrogata.3,notonecta.glauca.1,notonecta.glauca.2,notonecta.glauca.3,gryllus.bimaculatus.1,gryllus.bimaculatus.2,gryllus.bimaculatus.3,gryllus.campestris.1,gryllus.campestris.2,gryllus.campestris.3,locusta.migratoria.1,locusta.migratoria.2,locusta.migratoria.3,periplaneta.americana.1,periplaneta.americana.2,melipona.quadrifasciata.1,melipona.quadrifasciata.2,melipona.quadrifasciata.3,melipona.marginata.1,melipona.marginata.2,melipona.marginata.3,schwarziana.sp.1,schwarziana.sp.2,schwarziana.sp.3,trigona.spinipes.1,trigona.spinipes.2,trigona.spinipes.3,bombus.terrestris.1,bombus.terrestris.2,bombus.terrestris.3,bombus.lapidarius.1,bombus.lapidarius.2,bombus.lapidarius.3,bombus.monticola.1,bombus.monticola.2,bombus.monticola.3,bombus.jonelus.1,bombus.jonelus.2,bombus.jonelus.3,bombus.morio.1,bombus.morio.2,bombus.morio.3,melecta.punctata.1,melecta.punctata.2,melecta.punctata.3,anthophora.acervorum.1,anthophora.acervorum.2,anthophora.acervorum.3,proxylocopa.sp.1,proxylocopa.sp.2,proxylocopa.sp.3,xylocopa.brasilianorum.1,xylocopa.brasilianorum.2,xylocopa.brasilianorum.3,osmia.rufa.1,osmia.rufa.2,osmia.rufa.3,anthidium.manicatum.1,anthidium.manicatum.2,anthidium.manicatum.3,oxaea.flavescens.1,oxaea.flavescens.2,oxaea.flavescens.3,andrena.florea.1,andrena.florea.2,andrena.florea.3,philanthus.triangulum.1,philanthus.triangulum.2,philanthus.triangulum.3,paravespula.germanica.1,paravespula.germanica.2,paravespula.germanica.3,paravespula.vulgaris.1,paravespula.vulgaris.2,paravespula.vulgaris.3,vespa.crabro.f.1,vespa.crabro.f.2,vespa.crabro.f.3,vespa.crabro.m.1,vespa.crabro.m.2,vespa.crabro.m.3,polistes.dominulus.1,polistes.dominulus.2,polistes.dominulus.3,bombus.distinguendis.1,bombus.distinguendis.2,bombus.distinguendis.3,bombus.hortorum.1,bombus.hortorum.2,bombus.hortorum.3,apis.mellifera.m.1,apis.mellifera.m.2,apis.mellifera.m.3,papilio.xuthus.1,papilio.xuthus.2,papilio.xuthus.3,papilio.xuthus.4,papilio.xuthus.5,apodemia.mormo.1,apodemia.mormo.2,apodemia.mormo.3,apodemia.mormo.4,celastrina.argiolus.1,celastrina.argiolus.2,celastrina.argiolus.3,pseudozizeeria.maho.1,pseudozizeeria.maho.2,pseudozizeeria.maho.3,lycaena.rubidus.1,lycaena.rubidus.2,lycaena.rubidus.3,lycaena.rubidus.4
300,0.00066924,0,0,0,6.37E-05,0,0,0,0,0,0,0,0,0,0,0,1.98E-08,0,1.38E-11,6.63E-13,1.99E-06,6.76E-213,0,0.004078588,0.000664082,0.000893228,0.001855423,0.000727806,1.49E-06,0,0,0,0,0,0,0.011489923,0.00672668,0.001533875,0.001524705,0.001713692,0.001678633,0.001084939,0.000665594,0.003001715,0.000269713,0.000210035,0,0,0,0,0.004244646,0.001241871,0.000901727,0.004244646,0.001241871,0.000901727,0.004244646,0.001241871,0.000901727,0.008210242,0.002070591,0.000680273,0.014663587,0.00160126,0.000931834,0.01124762,0.001694911,0.000901727,0.006151383,0.001855423,0.00084588,0.005388716,0.000983371,0.008464001,0.001936147,0.000873108,0.01124762,0.001529941,0.000795255,0.008727815,0.001489735,0.000884384,0.008464001,0.00160126,0.000830174,0.01282668,0.001894974,0.000851219,0.010888891,0.00160126,0.000795255,0.009287112,0.00160126,0.000819956,0.010888891,0.00160126,0.000785701,0.008464001,0.00160126,0.000800101,0.01282668,0.001894974,0.000795255,0.008727815,0.00160126,0.000878718,0.012007265,0.00160126,0.000878718,0.005828211,0.00160126,0.000804993,0.007288713,0.00160126,0.00073626,0.006879394,0.00160126,0.000840594,0.004761665,0.001762976,0.00081492,0.008727815,0.00160126,0.000851219,0.007731462,0.00160126,0.000851219,0.009002057,0.00160126,0.00082504,0.009287112,0.00160126,0.000840594,0.01282668,0.00160126,0.000851219,0.01282668,0.00160126,0.000785701,0.006501054,0.001438855,0.000862055,0.006501054,0.001438855,0.000862055,0.00750575,0.001745499,0.000776326,0.009287112,0.00160126,0.000851219,0.006151383,0.002689666,0.001402582,0.000901727,0.000576252,0.01124762,0.001529941,0.00099695,0.000576252,0.003816409,0.001678633,0.000707348,0.002689666,0.000901727,0.000634621,0.006151383,0.001728335,0.001032206,0.00067655
301,0.00088357,0,0,0,7.55E-05,0,0,0,0,0,0,0,0,0,0,0,2.64E-08,0,1.84E-11,8.83E-13,2.36E-06,2.79E-200,0,0.004369915,0.000741189,0.000922756,0.001906611,0.000748189,1.62E-06,0,0,0,0,0,0,0.011528597,0.006749516,0.00153508,0.001534918,0.00173112,0.001725538,0.001116221,0.000683979,0.003001715,0.000280502,0.000210035,0,0,0,0,0.00435673,0.001277562,0.000927559,0.00435673,0.001277562,0.000927559,0.00435673,0.001277562,0.000927559,0.008405418,0.002126953,0.000699132,0.014903994,0.001646262,0.000958584,0.01147676,0.001742213,0.000927559,0.006308736,0.001906611,0.000869988,0.005529003,0.001011671,0.008662986,0.001989277,0.00089806,0.01147676,0.001573163,0.000817778,0.008930566,0.001531942,0.000909683,0.008662986,0.001646262,0.000853793,0.013064227,0.001947114,0.000875493,0.011115288,0.001646262,0.000817778,0.009497197,0.001646262,0.000843255,0.011115288,0.001646262,0.000807923,0.008662986,0.001646262,0.000822777,0.013064227,0.001947114,0.000817778,0.008930566,0.001646262,0.000903842,0.012241178,0.001646262,0.000903842,0.005978523,0.001646262,0.000827823,0.007468485,0.001646262,0.000756913,0.007051529,0.001646262,0.000864537,0.004886827,0.001811933,0.000838061,0.008930566,0.001646262,0.000875493,0.007918943,0.001646262,0.000875493,0.009208514,0.001646262,0.000848498,0.009497197,0.001646262,0.000864537,0.013064227,0.001646262,0.000875493,0.013064227,0.001646262,0.000807923,0.006665696,0.001479762,0.000886665,0.006665696,0.001479762,0.000886665,0.007689372,0.001794032,0.000798252,0.009497197,0.001646262,0.000875493,0.006308736,0.002761304,0.001442552,0.000927559,0.000591719,0.01147676,0.001573163,0.001025655,0.000591719,0.003917374,0.001725538,0.000727077,0.002761304,0.000927559,0.000652003,0.006308736,0.001776452,0.001061953,0.000695289
302,0.00109922,0,0,0,9.39E-05,0,0,0,0,0,0,0,0,0,0,0,3.34E-08,0,2.33E-11,1.12E-12,2.95E-06,5.57E-200,0,0.004643035,0.000798024,0.00093867,0.001957323,0.000768809,1.76E-06,0,0,0,0,0,0,0.011567903,0.006773283,0.001536451,0.001545578,0.001751792,0.001772141,0.001147672,0.000702592,0.002984563,0.000312868,0.000163361,0,0,0,0,0.00446705,0.001313331,0.000953618,0.00446705,0.001313331,0.000953618,0.00446705,0.001313331,0.000953618,0.008596332,0.002182634,0.000718221,0.015132973,0.001691037,0.000985555,0.011698424,0.001789199,0.000953618,0.00646344,0.001957323,0.000894332,0.005667063,0.00104018,0.008857471,0.002041851,0.000923244,0.011698424,0.001616227,0.00084054,0.00912856,0.001574028,0.000935213,0.008857471,0.001691037,0.000877648,0.013292471,0.001998739,0.000900002,0.011334615,0.001691037,0.00084054,0.009701958,0.001691037,0.000866791,0.011334615,0.001691037,0.000830383,0.008857471,0.001691037,0.000845691,0.013292471,0.001998739,0.00084054,0.00912856,0.001691037,0.000929199,0.01246674,0.001691037,0.000929199,0.006126377,0.001691037,0.000850891,0.007644795,0.001691037,0.000777803,0.007220518,0.001691037,0.000888717,0.005010037,0.001860505,0.00086144,0.00912856,0.001691037,0.000900002,0.008102593,0.001691037,0.000900002,0.009409939,0.001691037,0.000872194,0.009701958,0.001691037,0.000888717,0.013292471,0.001691037,0.000900002,0.013292471,0.001691037,0.000830383,0.006827462,0.001520594,0.000911509,0.006827462,0.001520594,0.000911509,0.007869355,0.001842198,0.000820417,0.009701958,0.001691037,0.000900002,0.00646344,0.002831791,0.001482478,0.000953618,0.000607393,0.011698424,0.001616227,0.001054563,0.000607393,0.004016715,0.001772141,0.000747039,0.002831791,0.000953618,0.000669606,0.00646344,0.001824218,0.001091891,0.000714257
303,0.00131585,0,0,0,0.000121971,0,0,0,0,0,0,0,0,0,0,0,4.42E-08,0,3.10E-11,1.49E-12,3.85E-06,8.36E-200,0,0.004916155,0.000854859,0.000954583,0.00200746,0.000789652,1.91E-06,0,0,0,0,0,0,0.011608389,0.006798036,0.001537982,0.001556695,0.00177596,0.001818357,0.001179256,0.000721424,0.002984563,0.000334445,0.000140023,0,0,0,0,0.004575523,0.001349129,0.000979884,0.004575523,0.001349129,0.000979884,0.004575523,0.001349129,0.000979884,0.008782989,0.002237523,0.00073753,0.01535093,0.001735506,0.001012723,0.011912752,0.001835778,0.000979884,0.006615456,0.00200746,0.000918893,0.005802841,0.001068868,0.009047466,0.002093766,0.00094864,0.011912752,0.001659059,0.000863525,0.009321817,0.001615922,0.000960953,0.009047466,0.001735506,0.000901723,0.013511662,0.002049747,0.000924727,0.011546994,0.001735506,0.000863525,0.009901439,0.001735506,0.000890549,0.011546994,0.001735506,0.000853068,0.009047466,0.001735506,0.000868828,0.013511662,0.002049747,0.000863525,0.009321817,0.001735506,0.000954766,0.012684141,0.001735506,0.000954766,0.006271728,0.001735506,0.000874181,0.007817626,0.001735506,0.000798918,0.007386337,0.001735506,0.000913114,0.005131225,0.0019086,0.000885041,0.009321817,0.001735506,0.000924727,0.008282403,0.001735506,0.000924727,0.009606364,0.001735506,0.000896109,0.009901439,0.001735506,0.000913114,0.013511662,0.001735506,0.000924727,0.013511662,0.001735506,0.000853068,0.006986319,0.001561284,0.000936567,0.006986319,0.001561284,0.000936567,0.008045685,0.001889905,0.000842805,0.009901439,0.001735506,0.000924727,0.006615456,0.002901007,0.001522296,0.000979884,0.00062327,0.011912752,0.001659059,0.001083647,0.00062327,0.004114338,0.001818357,0.000767225,0.002901007,0.000979884,0.000687424,0.006615456,0.001871543,0.001121988,0.000733446
304,0.00153312,0,0,0,0.000165961,0,0,0,0,0,0,0,0,0,0,0,6.17E-08,0,4.33E-11,2.08E-12,5.25E-06,1.11E-199,0,0.005189274,0.000911694,0.000970496,0.002056924,0.000810708,2.08E-06,0,0,0,0,0,0,0.011650605,0.006823827,0.001539667,0.001568283,0.001803871,0.001864098,0.001210936,0.000740465,0.003001715,0.000356022,0.000116686,0,0,0,0,0.004682088,0.001384907,0.001006332,0.004682088,0.001384907,0.001006332,0.004682088,0.001384907,0.001006332,0.008965445,0.002291511,0.000757051,0.015558333,0.001779589,0.001040065,0.012119949,0.001881866,0.001006332,0.00676478,0.002056924,0.000943652,0.005936315,0.001097709,0.009233038,0.002144921,0.000974228,0.012119949,0.001701583,0.000886717,0.009510413,0.001657553,0.000986881,0.009233038,0.001779589,0.000926,0.013722118,0.002100039,0.00094965,0.011752606,0.001779589,0.000886717,0.010095735,0.001779589,0.00091451,0.011752606,0.001779589,0.000875961,0.009233038,0.001779589,0.000892171,0.013722118,0.002100039,0.000886717,0.009510413,0.001779589,0.000980524,0.012893638,0.001779589,0.000980524,0.006414564,0.001779589,0.000897677,0.007987004,0.001779589,0.000820244,0.007549001,0.001779589,0.000937711,0.00525035,0.001956124,0.000908846,0.009510413,0.001779589,0.00094965,0.008458413,0.001779589,0.00094965,0.009797874,0.001779589,0.000920227,0.010095735,0.001779589,0.000937711,0.013722118,0.001779589,0.00094965,0.013722118,0.001779589,0.000875961,0.007142273,0.001601765,0.00096182,0.007142273,0.001601765,0.00096182,0.008218397,0.001937061,0.000865403,0.010095735,0.001779589,0.00094965,0.00676478,0.002968841,0.001561942,0.001006332,0.000639343,0.012119949,0.001701583,0.001112875,0.000639343,0.004210168,0.001864098,0.000787623,0.002968841,0.001006332,0.000705448,0.00676478,0.001918338,0.001152213,0.000752845
305,0.00175074,0,0,0,0.000230946,0,0,0,0,0,0,0,0,0,0,0,8.43E-08,0,5.94E-11,2.85E-12,7.38E-06,1.39E-199,0,0.005462394,0.000968529,0.000986409,0.002105618,0.000831963,2.25E-06,0,0,0,0,0,0,0.0116951,0.006850712,0.001541499,0.001580352,0.001835777,0.001909279,0.001242675,0.000759707,0.003001715,0.000377599,0.000116686,0,0,0,0,0.004786716,0.001420613,0.001032941,0.004786716,0.001420613,0.001032941,0.004786716,0.001420613,0.001032941,0.0091438,0.002344497,0.000776772,0.015755695,0.001823203,0.001067554,0.012320275,0.001927373,0.001032941,0.006911448,0.002105618,0.000968589,0.006067497,0.001126671,0.009414297,0.002195215,0.000999987,0.012320275,0.001743725,0.0009101,0.009694468,0.001698848,0.001012976,0.009414297,0.001823203,0.000950459,0.01392421,0.002149516,0.000974749,0.011951687,0.001823203,0.0009101,0.010284995,0.001823203,0.000938655,0.011951687,0.001823203,0.000899046,0.009414297,0.001823203,0.000915704,0.01392421,0.002149516,0.0009101,0.009694468,0.001823203,0.00100645,0.013095542,0.001823203,0.00100645,0.006554911,0.001823203,0.000921362,0.008153,0.001823203,0.000841769,0.007708566,0.001823203,0.000962488,0.005367403,0.002002988,0.000932837,0.009694468,0.001823203,0.000974749,0.008630708,0.001823203,0.000974749,0.009984603,0.001823203,0.000944529,0.010284995,0.001823203,0.000962488,0.01392421,0.001823203,0.000974749,0.01392421,0.001823203,0.000899046,0.007295369,0.001641968,0.000987246,0.007295369,0.001641968,0.000987246,0.008387565,0.001983578,0.000888195,0.010284995,0.001823203,0.000974749,0.006911448,0.003035193,0.001601351,0.001032941,0.000655607,0.012320275,0.001743725,0.001142219,0.000655607,0.004304154,0.001909279,0.000808222,0.003035193,0.001032941,0.000723671,0.006911448,0.001964512,0.001182531,0.000772445
306,0.00196843,0,0,0,0.000328923,0,0,0,0,0,0,0,0,0,0,0,1.13E-07,0,7.98E-11,3.83E-12,1.06E-05,2.09E-187,0,0.005735514,0.001016142,0.000999795,0.002153449,0.000853404,2.44E-06,0,0,0,0,0,0,0.011742422,0.006878744,0.001543471,0.001592913,0.001871927,0.001953814,0.001274434,0.000779139,0.003018868,0.000399176,9.33E-05,0,0,0,0,0.004889402,0.001456195,0.001059684,0.004889402,0.001456195,0.001059684,0.004889402,0.001456195,0.001059684,0.0093182,0.00239638,0.000796683,0.01594356,0.00186627,0.001095163,0.012514034,0.001972214,0.001059684,0.007055531,0.002153449,0.000993685,0.00619643,0.001155724,0.009591398,0.002244552,0.001025892,0.012514034,0.001785408,0.000933655,0.009874151,0.001739734,0.001039214,0.009591398,0.00186627,0.000975081,0.014118349,0.002198084,0.001000004,0.01214452,0.00186627,0.000933655,0.010469412,0.00186627,0.000962968,0.01214452,0.00186627,0.000922306,0.009591398,0.00186627,0.000939409,0.014118349,0.002198084,0.000933655,0.009874151,0.00186627,0.001032521,0.013290208,0.00186627,0.001032521,0.006692829,0.00186627,0.000945217,0.008315723,0.00186627,0.000863479,0.007865128,0.00186627,0.000987425,0.005482402,0.0020491,0.000956995,0.009874151,0.00186627,0.001000004,0.008799413,0.00186627,0.001000004,0.01016673,0.00186627,0.000968996,0.010469412,0.00186627,0.000987425,0.014118349,0.00186627,0.001000004,0.014118349,0.00186627,0.000922306,0.007445691,0.001681824,0.001012825,0.007445691,0.001681824,0.001012825,0.008553308,0.002029365,0.000911164,0.010469412,0.00186627,0.001000004,0.007055531,0.003099974,0.001640458,0.001059684,0.000672055,0.012514034,0.001785408,0.001171645,0.000672055,0.004396268,0.001953814,0.000829008,0.003099974,0.001059684,0.000742083,0.007055531,0.002009979,0.001212908,0.000792234
307,0.00218598,0,0,0,0.000476888,0,0,0,0,0,0,0,0,0,0,0,1.56E-07,0,1.11E-10,5.31E-12,1.54E-05,4.17E-187,0,0.006008633,0.001063754,0.001013182,0.002200326,0.000875017,2.65E-06,0,0,0,0,0,0,0.011792053,0.006907875,0.001545589,0.001605957,0.001912095,0.001997619,0.001306172,0.00079875,0.003036021,0.000409964,9.33E-05,0,0,0,0,0.004990167,0.001491601,0.001086538,0.004990167,0.001491601,0.001086538,0.004990167,0.001491601,0.001086538,0.009488827,0.002447066,0.000816771,0.016122484,0.001908709,0.001122866,0.012701569,0.002016304,0.001086538,0.007197135,0.002200326,0.001018917,0.006323193,0.001184837,0.009764535,0.002292839,0.001051922,0.012701569,0.001826557,0.000957366,0.010049666,0.001780139,0.00106557,0.009764535,0.001908709,0.000999846,0.014304977,0.00224565,0.001025394,0.012331426,0.001908709,0.000957366,0.010649218,0.001908709,0.000987426,0.012331426,0.001908709,0.000945724,0.009764535,0.001908709,0.000963267,0.014304977,0.00224565,0.000957366,0.010049666,0.001908709,0.001058714,0.013478025,0.001908709,0.001058714,0.006828413,0.001908709,0.000969224,0.008475319,0.001908709,0.000885359,0.00801882,0.001908709,0.0010125,0.005595398,0.002094374,0.000981303,0.010049666,0.001908709,0.001025394,0.008964692,0.001908709,0.001025394,0.010344474,0.001908709,0.000993607,0.010649218,0.001908709,0.0010125,0.014304977,0.001908709,0.001025394,0.014304977,0.001908709,0.000945724,0.007593356,0.001721266,0.001038532,0.007593356,0.001721266,0.001038532,0.008715779,0.002074335,0.000934294,0.010649218,0.001908709,0.001025394,0.007197135,0.003163109,0.001679195,0.001086538,0.000688681,0.012701569,0.001826557,0.001201121,0.000688681,0.004486508,0.001997619,0.000849969,0.003163109,0.001086538,0.000760674,0.007197135,0.002054651,0.001243309,0.000812202
308,0.00240318,0,0,0,0.000697836,0,0,0,0.000106,0,0,0,0,0,0,0,2.28E-07,0,1.63E-10,7.82E-12,2.27E-05,6.26E-187,0,0.006281753,0.001111367,0.001026568,0.002246161,0.000896786,2.87E-06,0,0,0,0,0,0,0.011842953,0.006938002,0.001547867,0.00161946,0.001955815,0.002040612,0.00133785,0.000818528,0.003087479,0.000431541,9.33E-05,0,0,0,0,0.005089062,0.001526777,0.001113475,0.005089062,0.001526777,0.001113475,0.005089062,0.001526777,0.001113475,0.009655897,0.002496466,0.000837026,0.016293019,0.00195044,0.001150632,0.012883248,0.002059559,0.001113475,0.007336398,0.002246161,0.001044263,0.006447893,0.001213978,0.009933935,0.002339987,0.001078053,0.012883248,0.001867098,0.000981212,0.010221253,0.001819991,0.00109202,0.009933935,0.00195044,0.001024733,0.014484552,0.002292125,0.001050895,0.012512752,0.00195044,0.000981212,0.010824677,0.00195044,0.001012011,0.012512752,0.00195044,0.000969282,0.009933935,0.00195044,0.00098726,0.014484552,0.002292125,0.000981212,0.010221253,0.00195044,0.001085003,0.013659406,0.00195044,0.001085003,0.006961787,0.00195044,0.000993363,0.008631968,0.00195044,0.000907393,0.008169804,0.00195044,0.001037692,0.005706468,0.002138722,0.001005738,0.010221253,0.00195044,0.001050895,0.009126741,0.00195044,0.001050895,0.010518087,0.00195044,0.001018343,0.010824677,0.00195044,0.001037692,0.014484552,0.00195044,0.001050895,0.014484552,0.00195044,0.000969282,0.007738515,0.001760225,0.001064346,0.007738515,0.001760225,0.001064346,0.008875168,0.002118403,0.000957566,0.010824677,0.00195044,0.001050895,0.007336398,0.003224535,0.001717499,0.001113475,0.000705476,0.012883248,0.001867098,0.001230614,0.000705476,0.004574895,0.002040612,0.000871091,0.003224535,0.001113475,0.000779436,0.007336398,0.002098444,0.001273698,0.000832336
309,0.00261987,0,0,0,0.001009763,0,0,0,0.000580918,0,0,0,0,0,0,0,3.30E-07,0,2.36E-10,1.13E-11,3.30E-05,8.34E-187,0,0.006554873,0.001158979,0.001039955,0.002290868,0.000918697,3.11E-06,0,0,0,0,0,0,0.01189489,0.006969101,0.001550307,0.001633419,0.002002975,0.002082711,0.001369426,0.000838463,0.003121784,0.00044233,9.33E-05,0,0,0,0,0.005186163,0.001561668,0.001140469,0.005186163,0.001561668,0.001140469,0.005186163,0.001561668,0.001140469,0.009819655,0.002544497,0.000857433,0.016455698,0.001991387,0.001178435,0.013059456,0.002101898,0.001140469,0.007473487,0.002290868,0.0010697,0.006570667,0.001243113,0.010099852,0.00238591,0.001104258,0.013059456,0.001906956,0.001005176,0.010389176,0.001859219,0.001118539,0.010099852,0.001991387,0.001049719,0.014657535,0.002337424,0.001076484,0.012688867,0.001991387,0.001005176,0.010996081,0.001991387,0.001036701,0.012688867,0.001991387,0.000992961,0.010099852,0.001991387,0.001011367,0.014657535,0.002337424,0.001005176,0.010389176,0.001991387,0.001111365,0.013834771,0.001991387,0.001111365,0.007093108,0.001991387,0.001017614,0.008785878,0.001991387,0.000929567,0.008318276,0.001991387,0.001062978,0.00581572,0.002182063,0.001030281,0.010389176,0.001991387,0.001076484,0.009285785,0.001991387,0.001076484,0.010687845,0.001991387,0.00104318,0.010996081,0.001991387,0.001062978,0.014657535,0.001991387,0.001076484,0.014657535,0.001991387,0.000992961,0.007881348,0.001798631,0.001090242,0.007881348,0.001798631,0.001090242,0.00903169,0.002161486,0.000980964,0.010996081,0.001991387,0.001076484,0.007473487,0.003284205,0.001755301,0.001140469,0.000722434,0.013059456,0.001906956,0.001260089,0.000722434,0.004661474,0.002082711,0.000892361,0.003284205,0.001140469,0.000798358,0.007473487,0.002141275,0.001304037,0.000852624
